Involvement ID;Investor ID Downstream;Investor Name Downstream;Investor ID Upstream;Investor Name Upstream;Relation type;Investment type;Ownership share;Loan amount;Loan currency;Loan date;Comment
12825;39799;Agricost S.A.;4778;EBRD (European Bank of Reconstruction and Development);Tertiary investor/lender;Debt financing;;20000000.0;;2021;
12826;36914;Data Rubber (Cambodia) Co., Ltd.;2266;Unknown (#158437);Parent company;;;;;;
12827;40157;Hoang Anh Attapeu Company (HAAC);253;Hoang Anh Gia Lai (HAGL);Parent company;;;;;;
12828;40230;Hoang Anh Lumphat Co., ltd;253;Hoang Anh Gia Lai (HAGL);Parent company;;;;;;Hoang Anh Lumphat Co Ltd is one of the subsidiaries of Hoang Anh Gia Lai Agrico (HAGL Agrico) registered in Cambodia
12829;38913;RZ Agro Group;681;Louis Dreyfus Group;Parent company;Shares/Equity;50.0;;;;
12830;38913;RZ Agro Group;3900;Sistema JSFC GDR;Parent company;Shares/Equity;50.0;;;;
12831;43704;Namangan fluffy towels LLC (Namangan momiq sochiqlari);43640;Art Soft Holding LLC;Parent company;;;;;;
12832;43668;Vodiy Sanoat Faxri LLC;43969;Abdubannaev;Parent company;Shares/Equity;100.0;;;;
12833;43664;Beruniy Cluster LLC;43768;Alliance Textile;Parent company;;;;;;
12834;43649;Digital Prime Textile LLC;43648;Anteks Group JSC;Parent company;;;;;;
12835;43709;Poly tex Sirdarya LLC;43690;Landesbank Baden-Wuerttemberg;Tertiary investor/lender;Debt financing;;;;;
12836;43795;Textile Finance Namangan LLC;43796;Maritex Industrial LLP;Parent company;Shares/Equity;100.0;;;;
12837;43890;DF Industries LLP;43625;Uztex Group;Parent company;;;;;;Holding structure
12838;39239;Complexe agroalimentaire du Sud (CAAS);4429;Unknown (4429);Parent company;Shares/Equity;;;;;joint-stock company founded by local companies
12839;39829;CalyxAgro in Argentina;681;Louis Dreyfus Group;Parent company;;;;;;Louis Dreyfus Company Holdings firmó un acuerdo en el año 2020 para vender una participación indirecta del 45% en el gigante alimenticio Louis Dreyfus Company a ADQ, un fondo emiratí con sede en Abu Dhabi. ADQ es socio estratégico del Gobierno de los Emiratos Árabes unidos
12840;39829;CalyxAgro in Argentina;3012;Said Holding;Parent company;;;;;;
12841;39829;CalyxAgro in Argentina;3014;Solvia Investment Management;Parent company;;;;;;
12842;39829;CalyxAgro in Argentina;3011;"TRG Management LP (""TRG,"" d/b/a The Rohatyn Group)";Parent company;;;;;;
12843;39829;CalyxAgro in Argentina;3010;Pacific Century Group;Parent company;;;;;;
12844;39829;CalyxAgro in Argentina;3013;Pictet Private Equity Investors;Parent company;;;;;;
12845;35377;Grupo MP Wines;3988;M. P. Wines;Parent company;;;;;;
12846;35593;Infinita Renovable ARG;915;Infinita Renovable;Parent company;;;;;;
12847;35593;Infinita Renovable ARG;3573;Isolux Corsán Group;Parent company;;;;;;
12848;35593;Infinita Renovable ARG;3575;Private Investors for Unknown (Infinita Renovable, in Argentina, 35593);Parent company;;;;;;
12849;35593;Infinita Renovable ARG;3574;Santander Group;Parent company;;;;;;
12850;40011;Unknown (Phoenix Global DMCC );5046;Phoenix Global DMCC;Parent company;;;;;;Phoenix Global DMCC went into liquidation in 2020.
12851;39992;Tolaro Global SARL;4771;Moringa SCA SICAR;Parent company;Shares/Equity;;;;;
12852;39992;Tolaro Global SARL;5035;Projects for Progress;Parent company;Shares/Equity;;;;;
12853;40199;Quasa-Geruco Joint Stock Company;117;Vietnam Rubber Group;Parent company;;10.0;;;;
12854;35373;Siasa latinoamericana (SIASA);661;Alkhorayef Group;Parent company;;;;;;
12855;43878;Afor Tape GmbH;43877;SPS Walholding GmbH;Parent company;;;;;;
12856;39854;El Tejar in Brazil;916;El Tejar Ltd.;Parent company;;;;;;
12857;916;El Tejar Ltd.;44006;Altima Partners;Tertiary investor/lender;;54.0;;;;
12858;916;El Tejar Ltd.;44008;Crestline Investors;Tertiary investor/lender;;;;;;
12859;916;El Tejar Ltd.;44007;The Capital Group Companies Inc.;Tertiary investor/lender;;32.0;;;;
12861;41394;Eolica del Sur;425;Mitsubishi Corp.;Parent company;;;;;;
12863;43964;Peterburgskaya Niva LLC;43910;Econiva APK Holding LLC;Parent company;;;;;;
12865;35636;Faso Biocarburant;964;Biocarburant SA (MBSA);Parent company;Shares/Equity;;;;;
12866;35636;Faso Biocarburant;44024;Smallholder farmers of Faso Biocarburant project;Parent company;Shares/Equity;;;;;
12867;44025;AGRITECH Faso;42436;Agritech Group Holdings International;Parent company;;;;;;
12868;39962;Adecoagro  SA in Argentina;44026;Fondo de pensiones Holandés PGGM;Parent company;;13.0;;;;
12869;39962;Adecoagro  SA in Argentina;376;Qatar Investment Authority;Parent company;;13.0;;;;
12870;39198;Essakane Sarl;3881;Government of Burkina Faso;Parent company;Shares/Equity;10.0;;;;
12871;39198;Essakane Sarl;4374;IAMGOLD Corporation;Parent company;Shares/Equity;90.0;;;;
12872;39509;Nantou Mining Burkina Faso SA;3881;Government of Burkina Faso;Parent company;Shares/Equity;10.0;;;;
12873;39509;Nantou Mining Burkina Faso SA;4749;Trevali Mining Corporation;Parent company;Shares/Equity;90.0;;;;
12874;44028;Trevali Holdings (Bermuda) LTD;4015;Trevali  Mining Corporation;Parent company;;;;;;
12875;43965;EcoNiva Agro LLC;43910;Econiva APK Holding LLC;Parent company;;;;;;
12876;43977;Agrogard Lipetsk LLC;43975;Agrogard Finance JSC;Parent company;;;;;;
12877;43892;OJSC Mondi Syktyvkar LPK;43896;Neusiedler Holdings B.V;Parent company;Shares/Equity;95.25;;;;
12878;40462;Dong Bac Corporation;44029;Ministry of National Defense (Vietnam);Parent company;;;;;;
12879;40485;Lao SPG CMC Mining Company Limited;44030;GIMPEX Private Limited;Parent company;;;;;;
12880;40485;Lao SPG CMC Mining Company Limited;40284;HSMM Group;Parent company;;;;;;
12881;235;Lao Agar International Development Co. Ltd. (L.A.I.D);40284;HSMM Group;Parent company;;;;;;
12889;39523;Roxgold Sanu SA;3881;Government of Burkina Faso;Parent company;Shares/Equity;10.0;;;;
